Sparse matrix update
Dimension	CoeffRef	Triplets	Transform	Pointers	Indices	
88	0.499673	0.254711	0.190398	0.175644	0.090191	
92	0.551132	0.293973	0.229651	0.214952	0.094569	
96	0.663895	0.349959	0.252797	0.211407	0.102124	
100	0.699865	0.383966	0.265682	0.222838	0.106852	
104	0.788781	0.405824	0.315952	0.270401	0.127257	
108	1.198817	0.787574	0.361961	3.530487	0.177159	
112	1.908898	0.502592	0.393717	2.204411	0.239210	
116	1.916910	0.567887	0.449275	4.749522	0.261210	
120	2.054504	0.616936	0.509730	1.556324	0.129187	
124	1.347228	0.937007	0.532998	4.987207	0.132664	
128	1.544313	0.811399	0.724079	7.057416	0.138864	
132	1.819553	0.851267	0.605315	4.757232	0.207829	
136	2.025510	0.875796	0.680377	3.684907	0.143643	
140	1.994691	0.989712	0.824060	7.284495	0.163359	
144	2.353606	1.108398	0.837023	5.744811	0.150928	
148	2.321271	1.191624	0.844094	5.354173	0.160401	
152	2.554367	1.208829	0.903972	0.766830	0.162316	
156	2.605475	1.321912	0.881789	0.848373	0.167341	
160	2.950008	1.505583	1.094488	0.892478	0.171789	
164	3.007702	1.808001	1.195770	0.860415	0.178342	
168	3.236458	1.640140	1.109378	0.953406	0.180693	
172	3.487886	1.795547	1.246329	1.087326	0.177104	
176	3.761254	1.904523	1.395228	1.040097	0.180359	
180	3.991893	2.046125	1.370004	1.115023	0.193211	
184	4.306153	2.271262	1.538338	1.266813	0.189387	
188	4.556236	2.339855	1.693325	1.413469	0.201498	
192	5.038382	2.619610	1.809338	1.457742	0.197780	
196	5.174290	2.659081	1.858571	1.443762	0.211241	
200	5.554781	2.864199	2.057279	1.634523	0.215014	
204	5.874474	3.018045	2.084070	1.831088	0.218774	
208	6.374476	3.435606	2.323880	1.738465	0.213489	
212	6.664415	3.448971	2.518725	1.967138	0.216159	
216	7.152742	3.716763	2.553118	2.156494	0.232241	
220	7.535600	3.876415	2.756433	2.391297	0.255217	
224	8.196430	4.317559	3.183220	2.401089	0.239719	
228	8.459169	4.430845	3.106903	2.541426	0.245505	
232	8.942994	4.726780	3.328663	2.803652	0.248953	
236	9.443265	4.918754	3.623229	3.052897	0.254955	
240	9.909411	5.204968	3.688549	2.888478	0.259799	
244	10.431449	5.464016	3.920564	3.135442	0.251680	
248	10.940596	5.779313	4.223173	3.454673	0.264371	
252	11.505482	6.050451	4.296919	3.726405	0.261555	
256	12.558699	6.687321	4.825032	3.966751	0.274465	
260	12.928244	6.925986	5.074231	4.070394	0.271866	
264	13.518359	7.175498	5.087379	4.328301	0.271777	
268	14.119609	7.556600	5.436640	4.717867	0.278170	
272	14.719993	7.837413	5.792567	4.496877	0.282114	
276	15.457781	8.223834	5.890313	4.814322	0.292637	
280	16.137828	8.592127	6.168351	5.195502	0.289564	
284	16.852326	8.921878	6.582896	5.566540	0.304208	
288	17.709562	9.461472	6.788173	5.474960	0.308741	
292	18.311623	9.675748	6.952463	5.662022	0.304481	
296	18.925473	10.142715	7.363863	6.308443	0.308364	
300	19.678504	10.398670	7.494969	6.470143	0.308925	
304	20.441087	10.930824	7.814849	6.278640	0.322189	
308	21.275074	11.231340	8.208246	6.530688	0.316925	
312	22.015771	11.795182	8.399648	7.009750	0.325717	
316	22.946684	12.103011	8.647689	7.482610	0.326291	
320	23.921100	12.843908	9.085154	7.431260	0.343247	
324	24.675213	13.066498	9.401466	7.514465	0.336761	
328	25.487399	13.649155	9.590420	7.860956	0.351250	
332	26.527983	14.009359	10.213697	8.506880	0.347239	
